,country_code,rank,score,GDP,social_support,life_expectancy,freedom,trust_governement,generosity,year
60,JM,65,5.709,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2015
61,CY,67,5.689,1.20813,0.89318,0.92356,0.40671999999999997,0.06146,0.30638000000000004,2015
62,DZ,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17382999999999998,0.07822,2015
63,XK,69,5.5889999999999995,0.80148,0.81198,0.63132,0.24749000000000002,0.04741,0.2831,2015
64,TM,70,5.547999999999999,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,2015
65,MU,71,5.477,1.0076100000000001,0.98521,0.7095,0.56066,0.07521,0.37744,2015
66,HK,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,2015
67,EE,73,5.428999999999999,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,2015
68,ID,74,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,2015
69,VN,75,5.36,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.10440999999999999,0.1686,2015
70,KG,77,5.2860000000000005,0.47428000000000003,1.15115,0.65088,0.43477,0.042319999999999997,0.3003,2015
71,NG,78,5.268,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2015
72,BT,79,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.15445,0.47998,2015
73,AZ,80,5.212000000000001,1.02389,0.9379299999999999,0.64045,0.3703,0.16065,0.07799,2015
74,PK,81,5.194,0.59543,0.41411000000000003,0.51466,0.12102,0.10464000000000001,0.33671,2015
75,JO,82,5.192,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.14293,0.11052999999999999,2015
76,ME,82,5.192,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.14296,0.1614,2015
77,CN,84,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,2015
78,ZM,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2015
79,RO,86,5.124,1.04345,0.8858799999999999,0.7689,0.35068,0.006490000000000001,0.13748,2015
80,RS,87,5.122999999999999,0.92053,1.0096399999999999,0.74836,0.20107,0.02617,0.19230999999999998,2015
81,PT,88,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.01078,0.13719,2015
82,LV,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18225999999999998,2015
83,PH,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279000000000001,0.24991,2015
84,SO,91,5.0569999999999995,0.18847,0.95152,0.43873,0.46581999999999996,0.39928,0.5031800000000001,2015
85,MA,92,5.013,0.7347899999999999,0.64095,0.60954,0.41691000000000006,0.08546000000000001,0.07172,2015
86,MK,93,5.007,0.91851,1.00232,0.73545,0.33457,0.053270000000000005,0.22359,2015
87,MZ,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,2015
88,AL,95,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,0.14272,2015
89,BA,96,4.949,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.00227,0.24808000000000002,2015
90,LS,97,4.898,0.37545,1.04103,0.07612000000000001,0.31767,0.12504,0.16388,2015
91,DO,98,4.885,0.8953700000000001,1.17202,0.66825,0.57672,0.14234000000000002,0.21684,2015
92,LA,99,4.876,0.5906600000000001,0.73803,0.54909,0.59591,0.24249,0.42191999999999996,2015
93,MN,100,4.874,0.82819,1.3006,0.60268,0.43626000000000004,0.026660000000000003,0.3323,2015
94,SZ,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2015
95,GR,102,4.857,1.15406,0.9293299999999999,0.88213,0.07699,0.013969999999999998,0.0,2015
96,LB,103,4.8389999999999995,1.0256399999999999,0.80001,0.83947,0.33916,0.04582,0.21854,2015
97,HU,104,4.8,1.12094,1.20215,0.75905,0.32111999999999996,0.02758,0.128,2015
98,HN,105,4.788,0.59532,0.9534799999999999,0.6951,0.40148,0.06825,0.23026999999999997,2015
99,TJ,106,4.7860000000000005,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.15072,0.22974,2015
100,TN,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2015
101,PS,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11250999999999999,2015
102,BD,109,4.694,0.39753,0.43106000000000005,0.60164,0.4082,0.12569,0.21222,2015
103,IR,110,4.686,1.0088,0.54447,0.69805,0.30033000000000004,0.058629999999999995,0.38086,2015
104,UA,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,2015
105,IQ,112,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922000000000002,2015
106,ZA,113,4.6419999999999995,0.9204899999999999,1.18468,0.27688,0.33207,0.08884,0.11972999999999999,2015
107,GH,114,4.633,0.5455800000000001,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.04355,0.23087,2015
108,ZW,115,4.61,0.271,1.0327600000000001,0.33475,0.25861,0.08079,0.18987,2015
109,LR,116,4.571000000000001,0.0712,0.78968,0.34201,0.28531,0.06232000000000001,0.24361999999999998,2015
110,IN,117,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475,2015
111,SD,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2015
112,HT,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2015
113,CD,120,4.5169999999999995,0.0,1.0012,0.09806000000000001,0.22605,0.07625,0.24834,2015
114,NP,121,4.513999999999999,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.059070000000000004,0.32295999999999997,2015
115,ET,122,4.512,0.19072999999999998,0.60406,0.44055,0.4345,0.15048,0.24325,2015
116,SL,123,4.507,0.33024000000000003,0.9557100000000001,0.0,0.4084,0.08786000000000001,0.21488000000000002,2015
117,MR,124,4.436,0.45407,0.86908,0.35874,0.24231999999999998,0.17461,0.21899999999999997,2015
118,KE,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,2015
119,DJ,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2015
120,AM,127,4.35,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855,2015
121,BW,128,4.332,0.99355,1.10464,0.047760000000000004,0.49495,0.12474,0.10461,2015
122,MM,129,4.3069999999999995,0.27108000000000004,0.70905,0.48246000000000006,0.44017,0.19034,0.79588,2015
123,GE,130,4.297,0.7419,0.38561999999999996,0.72926,0.40576999999999996,0.38331,0.055470000000000005,2015
124,MW,131,4.292,0.016040000000000002,0.41134,0.22562,0.43054,0.06977,0.33128,2015
125,LK,132,4.271,0.83524,1.01905,0.70806,0.5372600000000001,0.09179,0.40828000000000003,2015
126,CM,133,4.252,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.05786,0.20618000000000003,2015
127,BG,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,2015
128,EG,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,2015
129,YE,136,4.077,0.5464899999999999,0.68093,0.40064,0.35570999999999997,0.07854,0.09131,2015
130,AO,137,4.033,0.75778,0.8604,0.16683,0.10384000000000002,0.07122,0.12344000000000001,2015
131,ML,138,3.995,0.26074,1.03526,0.20583,0.38856999999999997,0.12352,0.18798,2015
132,CG,139,3.989,0.67866,0.6629,0.31051,0.41466000000000003,0.11685999999999999,0.12387999999999999,2015
133,KM,140,3.9560000000000004,0.23906,0.79273,0.36315,0.22916999999999998,0.19899999999999998,0.17440999999999998,2015
134,UG,141,3.931,0.21101999999999999,1.13299,0.33860999999999997,0.45726999999999995,0.07267,0.29066,2015
135,SN,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10712999999999999,0.20843000000000003,2015
136,GA,143,3.8960000000000004,1.06024,0.90528,0.43372,0.31914000000000003,0.11091,0.06822,2015
137,NE,144,3.845,0.0694,0.77265,0.29707,0.47691999999999996,0.15639,0.19387000000000001,2015
138,KH,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,2015
139,TZ,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747000000000001,0.34376999999999996,2015
140,MG,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08123999999999999,0.21333000000000002,2015
141,CF,148,3.678,0.0785,0.0,0.06699,0.48878999999999995,0.08288999999999999,0.23835,2015
142,TD,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,2015
143,GN,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139000000000001,0.28657,2015
144,CI,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922000000000002,0.20165,2015
145,BF,152,3.5869999999999997,0.25811999999999996,0.85188,0.27125,0.39493,0.12832000000000002,0.21746999999999997,2015
146,AF,153,3.575,0.31982,0.30285,0.30335,0.23414000000000001,0.09719,0.3651,2015
147,RW,154,3.465,0.22208000000000003,0.7737,0.42863999999999997,0.59201,0.55191,0.22628,2015
148,BJ,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,2015
149,SY,156,3.0060000000000002,0.6632,0.47489,0.7219300000000001,0.15684,0.18905999999999998,0.47179,2015
150,BI,157,2.905,0.0153,0.41586999999999996,0.22396,0.1185,0.10062,0.19727,2015
151,TG,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10730999999999999,0.16680999999999999,2015
152,DK,1,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2016
153,CH,2,7.5089999999999995,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2016
154,IS,3,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2016
155,NO,4,7.497999999999999,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2016
156,FI,5,7.412999999999999,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2016
157,CA,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2016
158,AN,7,7.3389999999999995,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2016
159,NZ,8,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2016
160,AU,9,7.313,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2016
161,SE,10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2016
162,IL,11,7.267,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,2016
163,AT,12,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2016
164,US,13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,2016
165,CR,14,7.087000000000001,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,2016
166,PR,15,7.039,1.35943,1.08113,0.77758,0.46823000000000004,0.12275,0.22202,2016
167,DE,16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2016
168,BR,17,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,2016
169,BE,18,6.928999999999999,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2016
170,IE,19,6.907,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,2016
171,LU,20,6.871,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2016
172,MX,21,6.778,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,2016
173,SG,22,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.46986999999999995,0.32706,2016
174,GB,23,6.725,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,2016
175,CL,24,6.705,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595,2016
176,PA,25,6.7010000000000005,1.18306,0.9891200000000001,0.70835,0.48927,0.08423,0.2418,2016
177,AR,26,6.65,1.15137,1.0661200000000002,0.69711,0.42283999999999994,0.07296,0.10989000000000002,2016
178,CZ,27,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2016
179,AE,28,6.5729999999999995,1.57352,0.8711399999999999,0.72993,0.56215,0.35561,0.26591,2016
180,UY,29,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.21394000000000002,0.18056,2016
181,MT,30,6.4879999999999995,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,2016
182,CO,31,6.481,1.0303200000000001,1.02169,0.59659,0.44735,0.053989999999999996,0.15625999999999998,2016
183,FR,32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2016
184,TH,33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2016
185,SA,34,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2016
186,TW,34,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2016
187,QA,36,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,2016
188,ES,37,6.361000000000001,1.34253,1.12945,0.8789600000000001,0.37545,0.06137000000000001,0.17665,2016
189,DZ,38,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,0.07044,2016
190,GT,39,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.08701,0.28808,2016
191,SR,40,6.269,1.09686,0.77866,0.5093300000000001,0.5223399999999999,0.12692,0.16665,2016
192,KW,41,6.239,1.61714,0.8775799999999999,0.63569,0.43166000000000004,0.23669,0.15965,2016
193,BH,42,6.218,1.44024,0.9439700000000001,0.65696,0.47375,0.25772,0.17147,2016
194,TT,43,6.167999999999999,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2016
195,VE,44,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425,2016
196,SK,45,6.077999999999999,1.27973,1.0826799999999999,0.70367,0.23390999999999998,0.02947,0.13837,2016
197,SV,46,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,2016
198,MY,47,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41473999999999994,2016
199,NI,48,5.992000000000001,0.69384,0.8952100000000001,0.65213,0.46581999999999996,0.16292,0.29773,2016
200,UZ,49,5.987,0.7359100000000001,1.1681,0.50163,0.60848,0.28333,0.34326,2016
201,IT,50,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2016
202,EC,51,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2016
203,BZ,52,5.956,0.87616,0.68655,0.45569,0.51231,0.10770999999999999,0.23684000000000002,2016
204,JP,53,5.921,1.3800700000000001,1.06054,0.91491,0.46761,0.18985,0.10224,2016
205,KZ,54,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2016
206,MD,55,5.897,0.69177,0.8313200000000001,0.5230899999999999,0.25201999999999997,0.019030000000000002,0.19997,2016
207,RU,56,5.856,1.2322799999999998,1.05261,0.58991,0.32682,0.03586,0.027360000000000002,2016
208,PL,57,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2016
209,BO,59,5.822,0.79422,0.8377899999999999,0.4697,0.50961,0.07746,0.21698,2016
210,LT,60,5.813,1.2692,1.0641100000000001,0.64674,0.18929,0.0182,0.02025,2016
211,SI,63,5.768,1.2994700000000001,1.05613,0.79151,0.53164,0.03635,0.25738,2016
212,TM,65,5.6579999999999995,1.08017,1.03817,0.44006000000000006,0.37408,0.28467,0.22566999999999998,2016
213,LY,67,5.615,1.0668799999999998,0.95076,0.52304,0.40671999999999997,0.10339000000000001,0.17087,2016
214,LV,68,5.56,1.2178799999999999,0.95025,0.63952,0.27996,0.0889,0.17445,2016
215,CY,69,5.546,1.31857,0.70697,0.8488,0.29507,0.05227999999999999,0.27906,2016
216,PY,70,5.537999999999999,0.8937299999999999,1.11111,0.58295,0.46235,0.07396,0.25296,2016
217,RO,71,5.528,1.1697,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889,2016
218,EE,72,5.517,1.2796399999999999,1.0516299999999998,0.68098,0.41511000000000003,0.18519000000000002,0.08423,2016
219,JM,73,5.51,0.89333,0.96372,0.5946899999999999,0.43596999999999997,0.04294,0.22245,2016
220,HR,74,5.4879999999999995,1.18649,0.6080899999999999,0.70524,0.23906999999999998,0.04002,0.18434,2016
221,HK,75,5.457999999999999,1.5107,0.87021,0.9527700000000001,0.48078999999999994,0.31647,0.40097,2016
222,XK,77,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2016
223,TR,78,5.388999999999999,1.1649200000000002,0.8771700000000001,0.64718,0.23889000000000002,0.12347999999999999,0.04707,2016
224,ID,79,5.314,0.95104,0.87625,0.49373999999999996,0.39237,0.00322,0.56521,2016
225,JO,80,5.303,0.9967299999999999,0.86216,0.60712,0.36023,0.13297,0.14262,2016
226,AZ,81,5.291,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564,2016
227,PH,82,5.279,0.81217,0.87877,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002,2016
228,CN,83,5.245,1.0278,0.79381,0.73561,0.44011999999999996,0.02745,0.049589999999999995,2016
229,BT,84,5.196000000000001,0.8527,0.9083600000000001,0.49759,0.46074,0.1616,0.48546000000000006,2016
230,KG,85,5.185,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.047619999999999996,0.38432,2016
231,RS,86,5.1770000000000005,1.03437,0.81329,0.6458,0.15718,0.04339,0.20736999999999997,2016
232,BA,87,5.162999999999999,0.9338299999999999,0.64367,0.7076600000000001,0.09511,0.0,0.29889,2016
233,ME,88,5.1610000000000005,1.07838,0.74173,0.6353300000000001,0.15111,0.12721,0.17190999999999998,2016
234,DO,89,5.155,1.02787,0.9949600000000001,0.5766899999999999,0.52259,0.12372000000000001,0.21286,2016
235,MA,90,5.151,0.8405799999999999,0.38595,0.5947100000000001,0.25645999999999997,0.08404,0.040530000000000004,2016
236,HU,91,5.145,1.24142,0.9316399999999999,0.67608,0.1977,0.044719999999999996,0.099,2016
237,PK,92,5.132000000000001,0.68816,0.26135,0.40306,0.14622000000000002,0.1388,0.31185,2016
238,LB,93,5.129,1.12268,0.64184,0.76171,0.26228,0.030610000000000002,0.23693000000000003,2016
239,PT,94,5.122999999999999,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999,2016
240,MK,95,5.121,1.0193,0.78236,0.6473800000000001,0.27668000000000004,0.07047,0.23506999999999997,2016
241,VN,96,5.061,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075,2016
242,SO,97,5.0569999999999995,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.36794,0.51479,2016
243,TN,98,5.045,0.97724,0.43165,0.59577,0.23553000000000002,0.0817,0.03936,2016
244,GR,99,5.033,1.24886,0.75473,0.80029,0.05822000000000001,0.04127,0.0,2016
245,TJ,100,4.996,0.48835,0.75602,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004,2016
246,MN,101,4.907,0.9885299999999999,1.0898299999999999,0.55469,0.35972,0.03285,0.34539000000000003,2016
247,LA,102,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43078999999999995,2016
248,NG,103,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2016
249,HN,104,4.871,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.06906,0.2044,2016
250,IR,105,4.813,1.11758,0.38856999999999997,0.64232,0.22544,0.0557,0.38538,2016
251,ZM,106,4.795,0.61202,0.6376,0.23573000000000002,0.42662,0.11479,0.17865999999999999,2016
252,NP,107,4.793,0.44626000000000005,0.69699,0.50073,0.37012,0.07007999999999999,0.3816,2016
253,PS,108,4.754,0.67024,0.71629,0.56844,0.17744000000000001,0.10613,0.11154000000000001,2016
254,AL,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,2016
255,BD,110,4.643,0.54177,0.24749000000000002,0.52989,0.39778,0.12583,0.19132000000000002,2016
256,SL,111,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897,2016
257,IQ,112,4.575,1.07474,0.59205,0.51076,0.24856,0.13635999999999998,0.19589,2016
258,NA,113,4.574,0.9328700000000001,0.70362,0.34745,0.48613999999999996,0.10397999999999999,0.07795,2016
259,CM,114,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.06126,0.2268,2016
260,ET,115,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.1717,0.29522,2016
261,ZA,116,4.459,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.08415,0.13656,2016
262,LK,117,4.415,0.9731799999999999,0.84783,0.62007,0.50817,0.07964,0.46978000000000003,2016
263,IN,118,4.404,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,0.25028,2016
264,MM,119,4.395,0.34112,0.69981,0.3988,0.42691999999999997,0.20243,0.81971,2016
265,EG,120,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998,2016
266,AM,121,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,2016
267,KE,122,4.356,0.52267,0.7624,0.30146999999999996,0.40576,0.06686,0.41328000000000004,2016
268,UA,123,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,2016
269,GH,124,4.276,0.63107,0.49353,0.29681,0.40973000000000004,0.0326,0.21203000000000002,2016
